    i                Name Type  ref  lev  adr
    0                  tc    7   -1    0   39
    1                 tc2    7   -1    0   39
    2                 tc3    7   -1    0   39
    3                  pi    8   -1    0    0
    4                   a    6   -1    0    5
    5                   b    6   -1    0    6
    6                   c    3    0    0    0
    7                 res    0   -1    0    2
    8                   d    3    1    0    3
    9                  f1    2   -1    0   33
   10               _root    2   -1    0   34
   11            chaabbcc    1   -1    0   35
   12           float_div   11    0    0   36
   13                  f1    2   -1    1    0
   14                  f2    2   -1    1    1
   15           get_lower   10    1    0   37
   16                   c    1   -1    1    0
   17                main   12    2    0   38
   18                   e    8   -1    1    1
   19                 ch1    1   -1    1    0
   20                 ch2    1   -1    1    1
   21             sml_num    2   -1    1    2
   22                   x    0   -1    1    3
   23                   y    0   -1    1    4
   24                   i    0   -1    1    5
   25                  kp    4    2    1    6
